K_Value,Text_Num,Topic,TFIDF_acc,TFIDF_pc,TFIDF_rc,TFIDF_f1,TFIDF_fb15,TFIDF_fb20,TFIDF_fb25,TFIDF_fb30,TextRank_acc,TextRank_pc,TextRank_rc,TextRank_f1,TextRank_fb15,TextRank_fb20,TextRank_fb25,TextRank_fb30,LDA_acc,LDA_pc,LDA_rc,LDA_f1,LDA_fb15,LDA_fb20,LDA_fb25,LDA_fb30
2,107,Visually_impaired_mom,0.2,0.5,0.25,0.3333,0.2955,0.2778,0.2685,0.2632,0,0,0,0,0,0,0,0,0.5,1,0.5,0.6667,0.5909,0.5556,0.537,0.5263
2,128,Okmart_charity_event,0.1667,0.5,0.2,0.2857,0.2453,0.2273,0.218,0.2128,0,0,0,0,0,0,0,0,0.1667,0.5,0.2,0.2857,0.2453,0.2273,0.218,0.2128
2,129,Okmart_charity_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,1,0.4,0.5714,0.4906,0.4545,0.4361,0.4255
2,130,Okmart_charity_event,0.1667,0.5,0.2,0.2857,0.2453,0.2273,0.218,0.2128,0,0,0,0,0,0,0,0,0.4,1,0.4,0.5714,0.4906,0.4545,0.4361,0.4255
2,131,Okmart_charity_event,0.1667,0.5,0.2,0.2857,0.2453,0.2273,0.218,0.2128,0,0,0,0,0,0,0,0,0.4,1,0.4,0.5714,0.4906,0.4545,0.4361,0.4255
2,132,Okmart_charity_event,0.1667,0.5,0.2,0.2857,0.2453,0.2273,0.218,0.2128,0,0,0,0,0,0,0,0,0.1667,0.5,0.2,0.2857,0.2453,0.2273,0.218,0.2128
2,133,Okmart_charity_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1667,0.5,0.2,0.2857,0.2453,0.2273,0.218,0.2128
2,134,Okmart_charity_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1667,0.5,0.2,0.2857,0.2453,0.2273,0.218,0.2128
2,135,Okmart_charity_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,1,0.4,0.5714,0.4906,0.4545,0.4361,0.4255
2,244,life_rebuild_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2222,1,0.2222,0.3636,0.2921,0.2631,0.2489,0.2409
2,245,life_rebuild_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1,0.2,0.3333,0.2653,0.2381,0.2248,0.2174
2,246,life_rebuild_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2222,1,0.2222,0.3636,0.2921,0.2631,0.2489,0.2409
