K_Value,Topic,TFIDF_acc_avg,TFIDF_pc_avg,TFIDF_rc_avg,TFIDF_f1_avg,TFIDF_fb15_avg,TFIDF_fb20_avg,TFIDF_fb25_avg,TFIDF_fb30_avg,TextRank_acc_avg,TextRank_pc_avg,TextRank_rc_avg,TextRank_f1_avg,TextRank_fb15_avg,TextRank_fb20_avg,TextRank_fb25_avg,TextRank_fb30_avg,LDA_acc_avg,LDA_pc_avg,LDA_rc_avg,LDA_f1_avg,LDA_fb15_avg,LDA_fb20_avg,LDA_fb25_avg,LDA_fb30_avg
18,dark experience,0.0643,0.0778,0.2667,0.1197,0.1513,0.1779,0.1981,0.213,0,0,0,0,0,0,0,0,0.2297,0.2444,0.8,0.3727,0.4677,0.5462,0.6052,0.6481
19,Visually_impaired_mom,0.0753,0.0842,0.4,0.1392,0.1857,0.2286,0.2636,0.2909,0,0,0,0,0,0,0,0,0.1984,0.2,0.95,0.3304,0.441,0.5428,0.6261,0.6909
19,Okmart_charity_event,0.0861,0.0987,0.375,0.1562,0.2014,0.2404,0.2705,0.293,0.0078,0.0104,0.025,0.0147,0.0175,0.0195,0.021,0.0219,0.2632,0.2632,1,0.4167,0.5372,0.6411,0.7214,0.7813
19,life_rebuild_event,0.0479,0.0658,0.1495,0.0909,0.1068,0.1185,0.1266,0.1321,0.028,0.0403,0.0824,0.0541,0.0623,0.0681,0.0719,0.0746,0.342,0.364,0.7938,0.4976,0.58,0.6398,0.6805,0.7081
19,dark experience,0.0615,0.0737,0.2667,0.1148,0.1464,0.1735,0.1942,0.2097,0,0,0,0,0,0,0,0,0.2183,0.2316,0.8,0.3576,0.4528,0.5329,0.5938,0.6386
20,Visually_impaired_mom,0.0719,0.08,0.4,0.1333,0.1793,0.2222,0.2578,0.2857,0,0,0,0,0,0,0,0,0.1886,0.19,0.95,0.3166,0.4259,0.5278,0.6122,0.6786
20,Okmart_charity_event,0.0824,0.0938,0.375,0.15,0.195,0.2344,0.2652,0.2884,0.0078,0.0104,0.025,0.0147,0.0175,0.0195,0.021,0.0219,0.25,0.25,1,0.4,0.52,0.625,0.7073,0.7692
20,life_rebuild_event,0.0462,0.0625,0.1495,0.0878,0.1041,0.1163,0.1248,0.1307,0.0272,0.0385,0.0824,0.0525,0.0609,0.067,0.0712,0.0739,0.3416,0.3583,0.8215,0.4975,0.5856,0.6505,0.6951,0.7256
20,dark experience,0.0588,0.07,0.2667,0.1102,0.1418,0.1692,0.1905,0.2066,0,0,0,0,0,0,0,0,0.208,0.22,0.8,0.3436,0.4389,0.5202,0.5828,0.6294
21,Visually_impaired_mom,0.0689,0.0762,0.4,0.1279,0.1733,0.2162,0.2522,0.2806,0,0,0,0,0,0,0,0,0.1797,0.181,0.95,0.304,0.4117,0.5136,0.599,0.6667
